region,crop,hr,Shortage_%,xland,p,y,xlandsc,xwater,xwatersc,grev,grevsc,iterations,statussc,lambdawater
PA-708,Vineyard,Tulare Lake,0.6,10844.70239,1575.156004,12.05608017,10520.264198621462,43475.5007096152,40066.112101759434,205943143.93877026,199781995.50486615,6,Good,1114.7111626783046
PA-708,Alfalfa,Tulare Lake,0.65,13617.37082,277.7988945,8.566,1.4092840552766592e-16,61612.21555569106,2.442855704488396e-08,32404240.53518306,3.3535680355059237e-13,3,Good,995.1224843622244
PA-708,Almonds & Pistachios,Tulare Lake,0.65,266819.4854,5254.957539,1.2765,190631.2703239638,1005313.8636349537,682341.6358086625,1789812647.201941,1278745658.5732644,3,Good,995.1224843622244
PA-708,Citrus & Subtropical,Tulare Lake,0.65,5028.220857,1062.045455,16.13,4900.195996134406,18144.001651780334,16797.930638523365,86137411.61063756,83944244.19607937,3,Good,995.1224843622244
PA-708,Corn,Tulare Lake,0.65,11459.7622,253.0253431,19.8995,9832.600272348574,26133.269616940786,21301.49714752081,57700794.41860702,49507907.49524667,3,Good,995.1224843622244
PA-708,Cotton,Tulare Lake,0.65,6101.235793,3766.024208,0.776,7.283291042216738e-17,22875.373797909342,2.442855686289644e-08,17830463.715439565,2.1284943094024683e-13,3,Good,995.1224843622244
PA-708,Cucurbits,Tulare Lake,0.65,302.5489449,829.3999693,16.1025,300.21079178346224,738.864529795333,696.4967212448365,4040666.113564128,4009439.113022311,3,Good,995.1224843622244
PA-708,Dry Beans,Tulare Lake,0.65,75.7249257,1204.529622,1.604,7.143729410662218e-16,145.37535938161253,2.442855915928184e-08,146305.51747155614,1.3802153233459173e-12,3,Good,995.1224843622244
PA-708,Grain,Tulare Lake,0.65,7474.609625,299.3468083,2.38,3.063499053738148e-16,5348.266748150671,2.442855739965546e-08,5325251.27218666,2.182575820240472e-13,3,Good,995.1224843622244
PA-708,Lettuce,Tulare Lake,0.65,162.0540372,684.769363,16.01225,154.8335760871553,372.84786991341724,338.4235344489703,1776873.6152882138,1697703.4380849497,3,Good,995.1224843622244
PA-708,Onions & Garlic,Tulare Lake,0.65,986.5654233,2882.549818,7.8,973.4159143174935,1236.787904075948,1159.2881106792556,22181827.05475236,21886174.959902715,3,Good,995.1224843622244
PA-708,Other Deciduous,Tulare Lake,0.65,9187.34411,2358.861787,3.868333333,8701.683996629154,32175.665617299666,28951.059741497433,83833262.57206555,79401680.24342702,3,Good,995.1224843622244
PA-708,Pasture,Tulare Lake,0.65,300.5043649,167.5,5.0,1.226626843869417e-16,1432.8631971367608,2.4428556875168335e-08,251672.40560375,1.0272999817406367e-13,3,Good,995.1224843622244
