region,crop,hr,Shortage_%,xland,p,y,xlandsc,xwater,xwatersc,grev,grevsc,iterations,statussc,lambdawater
BANTA-CARBONA I.D.,Other Deciduous,San Joaquin River,0.75,5966.793346,1941.520674,2.07538957,5623.5498952462585,20560.59844055851,19329.39260460967,24042667.2585236,22659598.062625952,4,Good,298.7744837876296
BANTA-CARBONA I.D.,Pasture,San Joaquin River,0.75,8.53927993,276.0,5.0,2.6589078989027396e-18,39.282284924693066,1.6065292965423423e-08,11784.206303399998,3.669292900485781e-15,4,Good,298.7744837876296
BANTA-CARBONA I.D.,Safflower,San Joaquin River,0.75,52.20934812,574.0,1.3,5.096211787082385e-18,125.59767726324469,1.606529297585485e-08,38958.61556714401,3.802793235520876e-15,4,Good,298.7744837876296
BANTA-CARBONA I.D.,Tomato Processing,San Joaquin River,0.75,750.894725,101.0,43.3,612.8937744618026,1786.8747878138583,1454.8331141993708,3283887.9008424995,2680368.343853801,4,Good,298.7744837876296
BANTA-CARBONA I.D.,Truck Crops,San Joaquin River,0.75,43.2080525,555.0,22.8,40.56335856738775,115.26753339094934,107.94166543324668,546754.696335,513288.7393117246,4,Good,298.7744837876296
BANTA-CARBONA I.D.,Vineyard,San Joaquin River,0.75,351.735675,1689.181611,10.69211111,337.7779136047427,1089.8475423605726,1043.983125313376,6352668.997352641,6100579.0207300065,4,Good,298.7744837876296
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,0.8,692.4817265,281.0,6.7,2.653118409598956e-21,2863.3879501255306,2.6531184095988308e-08,1303735.34648155,4.995026029751955e-18,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Almonds & Pistachios,San Joaquin River,0.8,6944.405664,4883.344789,1.202182209,5572.2394014011725,28639.45369734431,22923.0453557388,40768315.567165144,32712779.944549393,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Citrus & Subtropical,San Joaquin River,0.8,160.6387081,933.0,3.6,152.6235135865182,521.6687197067006,494.40054516680425,539553.29276628,512631.85743439733,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Corn,San Joaquin River,0.8,282.9171526,59.0,27.1,233.94743613008657,683.4795368215509,563.7641144185219,452356.23529214005,374058.55562839546,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Cucurbits,San Joaquin River,0.8,324.6611668,203.0,12.0,322.2491540363923,746.5996259320906,739.2002563625382,790874.6023248,784998.9392326517,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Dry Beans,San Joaquin River,0.8,1248.750059,1752.0,1.3,361.47295737518294,2762.36170131648,797.615774902035,2844153.1343783997,823290.8077177167,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Grain,San Joaquin River,0.8,72.81367026,164.0,2.5,73.54180764831574,33.97899734514724,34.23298997183037,29853.604806599997,30152.141135809452,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Other Deciduous,San Joaquin River,0.8,5966.793346,1941.520674,2.07538957,5734.678647242388,20560.59844055851,19711.36685878566,24042667.2585236,23107381.56243311,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Pasture,San Joaquin River,0.8,8.53927993,276.0,5.0,2.6531184095994004e-21,39.282284924693066,2.653118409599202e-08,11784.206303399998,3.661303405247172e-18,2,Good,198.85339240645754
